,osl_property_id,asset_name,employer_name,old_commute,new_commute,closest_asset,is_closest_asset
496,2691034,Cortland Park 83,American Honda Motor Company,11.020000000000001,8.096666666666668,Cortland Lex,False
505,2691034,Cortland Park 83,Emory Healthcare ,48.27833333333333,32.056666666666665,Decatur Highlands,False
506,2691034,Cortland Park 83,Emory Healthcare ,48.27833333333333,31.751666666666665,Decatur Highlands,False
507,2691034,Cortland Park 83,Marten Transport ,23.006666666666668,26.34333333333333,Springdale Glen,False
508,2691034,Cortland Park 83,Marten Transport ,23.006666666666668,26.038333333333334,Springdale Glen,False
509,2691034,Cortland Park 83,chipotle,22.071666666666665,23.258333333333333,Cortland Windward,False
510,2691034,Cortland Park 83,chipotle,22.071666666666665,22.953333333333333,Cortland Windward,False
511,2691034,Cortland Park 83,Northside Hospital,65.14833333333334,26.285,Cortland Windward,False
512,2691034,Cortland Park 83,Northside Hospital,65.14833333333334,25.98,Cortland Windward,False
515,2691034,Cortland Park 83,Mt. Bethel Church,19.63,23.223333333333336,Provence North,False
516,2691034,Cortland Park 83,Mt. Bethel Church,19.63,22.918333333333333,Provence North,False
523,2691034,Cortland Park 83,Futures Production,31.308333333333334,11.5,Cortland Windward,False
524,2691034,Cortland Park 83,Futures Production,31.308333333333334,11.195,Cortland Windward,False
527,2690752,Cortland Old Fourth Ward,ALM Chevy South,18.53666666666667,23.461666666666666,East Ridge Park,False
529,2690752,Cortland Old Fourth Ward,Grady FMC,1.3299999999999998,2.503333333333333,Cortland Old Fourth Ward,True
530,2690752,Cortland Old Fourth Ward,Georgia State University,2.4883333333333337,3.35,Cortland Old Fourth Ward,True
532,2690752,Cortland Old Fourth Ward,State of Georgia,12.375,21.418333333333333,Avalon on Montreal,False
533,2690752,Cortland Old Fourth Ward,emory university hospital midtown,22.88,4.471666666666667,Cortland Old Fourth Ward,True
540,2691034,Cortland Park 83,Georgia Luxury Automotive,20.123333333333335,15.82,Hunters Ridge,False
541,2691034,Cortland Park 83,Georgia Luxury Automotive,20.123333333333335,15.514999999999999,Hunters Ridge,False
544,2691034,Cortland Park 83,Macys ,26.384999999999998,17.328333333333333,Cortland at the Hill,False
545,2691034,Cortland Park 83,Macys ,26.384999999999998,17.023333333333333,Cortland at the Hill,False
546,2691034,Cortland Park 83,Fulton County Schools,28.678333333333335,4.295,Cortland Park 83,True
